Tijdstempel,Score,Wat is uw leeftijd in cijfers?,Wat is uw geslacht?,"Wat is het niveau waaraan u momenteel studeert of heeft gestudeerd, indien u al werkt?",Wat is uw vakgebied of studierichting?,"Is uw vakgebied of studierichting direct gerelateerd aan technische onderwerpen zoals ICT, kunstmatige intelligentie en AI-generatoren?",In hoeverre bent u bekend met AI-generatoren?,Hoe vaardig acht u uzelf in het begrijpen van de werking van AI-generatoren?,"Hoe regelmatig gebruikt u zelf AI-generatoren in uw studie of werk? (ChatGPT, DALL-E, Bard)","Waar heeft u AI-generatoren voorheen voor gebruikt, indien van toepassing?",Hoeveel vertrouwen heeft u in uw vermogen om onderscheid te maken tussen door AI gegenereerde en authentieke afbeeldingen?,Vul uw starttijd in,1: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",2: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",3: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",4: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",5: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",6: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",7: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",8: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",9: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",10: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",11: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",12: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",13: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",14: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",15: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",16: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",17: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",18: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",19: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",20: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",21: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",22: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",23: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",24: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",25: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",26: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",27: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",28: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",29: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",30: Is deze foto echt of nep?,"Indien u nep heeft geselecteerd, licht toe welke aspecten van de afbeelding onnatuurlijk zijn voor u. ",Vul uw eindtijd in:,Heeft u tijdens de survey nieuwe informatie opgedaan over AI-generatoren die u eerder niet kende?,In hoeverre heeft uw deelname aan deze survey invloed gehad op uw vertrouwen in het onderscheiden van  authentieke en door AI gegenereerde afbeeldingen?,Wat vond u van de moeilijkheidsgraad van de afbeeldingen?,Hoeveel foto's denkt u correct te hebben onderscheiden tijdens de survey?
30-11-2023 21:40:36,20 / 30,66,Vrouw,MBO,Horeca ,Nee,2,1,1,Niet van toepassing,2,21:31:00,Nep,Het bord,Echt,,Nep,De Tank ,Nep,De Hand ,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,De drie zijn er in gezet ,Echt,,Echt,Pistool er in gemonteerd ,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Poetin is er in geshopt ,Echt,,Echt,,Echt,,Nep,Gefoto shopt,Echt,,Nep,Er is geen schaduw,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,In geschopt ,21:39:00,Nee,4,3,6
30-11-2023 21:41:32,16 / 30,55,Vrouw,Middelbare school,Toerisme,Nee,1,3,1,Niet van toepassing,3,21:31:00,Nep,Veel blanke mensen in de demo ,Nep,Getekend ,Echt,,Nep,"Hoek van de camera, optisch  bedrog",Echt,,Echt,,Echt,,Nep,Fotoshop,Echt,,Nep,Animatie gezicht lijkt niet,Echt,,Nep,Wapen,Nep,Mensenmassa onscherp,Echt,,Echt,,Nep,Mensenmassa is gekopieerd,Echt,,Nep,Gezicht poetin,Echt,,Nep,Mondmaskers,Echt,,Nep,Hebben elkaar nooit ontmoet,Echt,,Echt,,Echt,,Nep,Zijn nooit bijelkaar geweest,Echt,,Nep,Gezichten lijken op elkaar,Echt,,Nep,Wapen en persoon ,21:40:00,Nee,3,4,3
30-11-2023 21:41:43,20 / 30,44,Vrouw,HBO,Bouwkunde,Nee,3,3,1,Niet van toepassing,3,21:35:00,Echt,,Echt,,Nep,De kinderen,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Duidelijk zichtbaar dat het bewerkt is,Echt,,Nep,,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,,Echt,,Echt,,Echt,,Nep,,Echt,,Echt,,Echt,,Nep,,Echt,,Nep,,Echt,,Nep,,21:40:00,Nee,2,3,6
30-11-2023 21:43:23,20 / 30,49,Vrouw,HBO,Operatie assistent,Nee,1,1,1,Niet van toepassing,1,21:30:00,Echt,,Echt,,Echt,,Nep,Vingers in mond man,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Gezicht nep,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Poutin lijkt op stripfiguur,Echt,,Echt,,Echt,,Nep,Lijken allebei op poppen,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Zelfde gezicht,Echt,,Nep,Poppen gezicht,21:45:00,Nee,3,3,5
30-11-2023 21:52:17,16 / 30,63,Vrouw,HBO,Verpleegkunde,Nee,2,1,1,Niet van toepassing,2,21:30:00,Echt,,Echt,,Nep,Ik zie geen schaduw van de tank ,Nep,De wijsvinger is te lang,Nep,De beide dames zijn met hetzelfde lapje stof bezig,Echt,,Echt,,Nep,Het bord houdt ze verkeerd om,Echt,,Nep,Hoofden zien er raar uit,Nep,Regenboogdemonstratie  tijdens coronatijd,Echt,,Echt,,Echt,,Nep,,Echt,,Nep,Er springt iemand op het dak ,Nep,De hand van Poetin ziet er raar uit,Echt,,Echt,,Echt,,Nep,Gezichten,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Kennedy zit er tussen,Nep,Vinger ziet er vreemd uit,21:55:00,Nee,3,3,6
30-11-2023 21:56:05,13 / 30,49,Man,HBO,.,Nee,2,3,1,Niet van toepassing,3,21:49:00,Echt,,Nep,,Nep,Schaduw ,Nep,Vinger,Echt,,Nep,Gezicht,Echt,,Echt,,Echt,,Nep,Teveel details,Echt,,Nep,,Echt,,Nep,,Nep,,Nep,,Echt,,Nep,,Echt,,Nep,,Echt,,Nep,,Nep,,Echt,,Nep,,Echt,,Echt,,Nep,,Nep,,Nep,,21:55:00,Nee,3,5,4
30-11-2023 22:01:53,19 / 30,34,Vrouw,HBO,E-commerce,Nee,2,3,1,Niet van toepassing,3,21:56:00,"Echt, Nep",,Nep,Lijkt een deel meerdere malen te zien ,Nep,Lijkt alsof de tank en de kinderen erin zijn gephotoshopt ,Nep,Door zijn mond ,Nep,,Echt,,Nep,,Nep,,Echt,,Nep,,Nep,,Echt,,Nep,,Nep,,Echt,,Nep,,Echt,,Nep,,Echt,,Nep,,Echt,,Nep,,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,,Echt,,Nep,,22:01:00,Nee,3,3,4
30-11-2023 22:05:10,19 / 30,60,Man,HBO,Werktuigbouw,Nee,1,2,1,Niet van toepassing,3,21:28:00,Echt,,Echt,,Echt,,Echt,,Nep,Ogen zitten dicht van de vrouwen,Nep,Achtergrond vaag,Nep,Kat op de voorgrond klopt niet,Echt,,Nep,Bruine deel klopt niet,Nep,Achtergrond vaag,Nep,Zwarte vlag klopt niet,Nep,Pistool klopt niet in de handen ,Nep,Mensenmassa klopt niet,Echt,,Echt,,Echt,,Nep,Spandoek met mannen erop is er in gezet,Nep,Poetin klopt niet ,Nep,Grond op voor en achtergrond komen niet overeen ,Nep,De 2 met helm horen er niet,Nep,Tekst op de voorgrond zou scherper moeten zijn,Nep,Geert en trump klopt niet,Echt,,Nep,Vrouw klopt niet,Nep,Achtergrond klopt niet met voorgrond ,Nep,Barack met trump klopt niet,Echt,,Nep,Voor en achterkant kloppen niet,Echt,,Nep,Biden is er in geplakt,22:03:00,Ja,1,4,5
30-11-2023 22:06:45,21 / 30,60,Vrouw,HBO,Small Business,Nee,2,1,1,Niet van toepassing,1,21:50:00,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,De persoon met groene pet klopt niet helemaal,Echt,,Nep,De gezichten zijn onnatuurlijk. Lijken wel wassenbeelden. ,Echt,,Echt,,Nep,De mensenmassa bevat rare vlekken,Echt,,Echt,,Nep,Sommige vlaggen lijken erin geplakt,Echt,,Nep,De man is erin geplakt,Nep,De mensen op de voorgrond hebben een niet menselijke houding,Nep,De lantaarnpalen lijken uit een andere foto te komen,Echt,,Nep,De mannen lijken op poppen,Nep,De mensen op de voorgrond zijn erin geplakt,Echt,,Echt,,Echt,,Echt,,Nep,Het gezicht van Poetin is niet echt,Echt,,Nep,De man is erin geplakt ,22:05:00,Ja,4,3,5
30-11-2023 22:07:21,23 / 30,54,Vrouw,MBO,Modebranche ,Nee,2,2,1,Niet van toepassing,2,21:42:00,Nep,Handen gek bij het vasthouden van het bord,Echt,,Nep,Gebouwen wazig ,Nep,Jij reageert niet echt ,Nep,Handen staan vreemd,Echt,,Nep,Handen gek,Nep,Het lijkt of zij erin is gezet,Nep,,Nep,De gezichten zijn echt nep,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Bomen zijn tegen de gevel aangeplakt ,Echt,,Nep,Gezicht Poetin,Nep,Persoon met witte bovenstuk is vreemd,Echt,,Nep,Er loopt een vrouw tussen die aan het winkelen gedaan,Nep,Gezichten,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Gezichten,Echt,,Nep,Gezicht,22:05:00,Nee,2,3,5
30-11-2023 22:17:35,20 / 30,53,Man,HBO,Sales,Nee,3,3,1,Niet van toepassing,2,21:45:00,Nep,Handen aan het bord,Echt,,Echt,,Nep,Reactie en erg onwaarschijnlijk ,Echt,,Echt,,Nep,"Kat is er voor geplaatst, handen soldaat ",Echt,,Echt,,Nep,,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Veel mensen niet echt ,Echt,,Nep,Ehhhhh…… Putin,Nep,,Nep,,Echt,,Nep,Trump,Echt,,Nep,,Echt,,Nep,,Echt,,Nep,,Nep,,Nep,Haar van Trump,22:16:00,Nee,3,3,8
30-11-2023 22:26:07,19 / 30,63,Vrouw,MBO,Mode,Nee,1,2,1,Niet van toepassing,3,22:09:00,Echt,,Echt,,Nep,Schaduw tank klopt niet,Echt,,Nep,Ze horen achter de naaimachine te zitten en niet ervoor ,Echt,,Echt,,Echt,,Echt,,Echt,Hoofden te onnatuurlijk ,Nep,Vlaggen zijn er in gezet ,Nep,Weet ik niet echt gevoel ,Echt,,Echt,,Echt,,Nep,Niet alle vlaggen zijn echt ,Nep,Jongen op het dak zijn stand klopt niet ,Nep,Hand van de vrouw zit te hoog ,Echt,,Echt,,Echt,,Echt,Ze hebben elkaar nog nooit ontmoet denk ik ,Echt,,Nep,Vrouw is er in geplaatst ,Echt,,Nep,Kan het niet precies zeggen ,Echt,,Nep,4de zelfde hoofden ,Echt,,Nep,Je ziet aan zijn hoofd ,22:24:00,Ja,4,3,5
30-11-2023 22:34:24,18 / 30,62,Man,MBO,Anesthesie medewerker ,Ja,2,1,1,Niet van toepassing,1,22:25:00,Nep,Ondat ik kale en groene bomen zie,Echt,,Nep,Ziet eruit om situatie extra heftig te maken ,Nep,Lengte van vingers klopt niet,Nep,Naaimachines staan verkeerd ,Echt,,Nep,Belichting klopt niet,Nep,Tekstbord  verkeerd om,Echt,,Nep,Gezichten lijken onecht,Echt,,Nep,Vreemde stand van rechterhand,Nep,,Nep,Rij richting motoren klopt niet ,Echt,,Nep,Vreemde bomen,Nep,Rare houding op dak,Nep,Poetin ziet er vreemd uit,Echt,,Nep,Verhoudingen kloppen niet ,Echt,,Nep,Ze zien er nep uit,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Zie 4 x poetin,Nep,Denk dat ik iemand een sigaretje zie roken ,Nep,Ziet er te glad uit,22:32:00,Nee,4,4,5
30-11-2023 22:40:00,20 / 30,56,Man,MBO,Economie,Nee,3,3,2,Algemene vragen,4,22:06:00,Echt,,Echt,,Nep,Schaduw vd tank en de kinderen is verschillend,Nep,Vinger vd vrouw klopt niet tenzij deze is gebroken,Nep,Handen vd vrouwen kloppen niet,Echt,,Nep,Gen schaduw vd kat. Soldaat kijkt niet naar de kat,Echt,,Echt,,Nep,Onama ziet eruit als the joker,"Echt, Nep",Geen idee,Nep,Biden is tegen wapenbezit,Nep,Zeer onduidelijk beeld,Nep,Lijkt samengesteld. Zeker mannen op het dak van de traktor,Echt,,Echt,,Nep,Petspectief van de gebouwen klopt niet,Nep,Handen van Putin kloppen niet,Echt,,Echt,,Echt,,Nep,Teveel bewerkt,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Putin staat meerdere keren op deze foto,Echt,,Nep,Dit lijkt een animatie tekening,22:38:00,Nee,3,4,7
30-11-2023 22:45:31,21 / 30,28,Vrouw,Universitair (Bachelor/Master/PhD),Digital Business ,Ja,4,4,4,"Teksten genereren (ChatGPT), Afbeeldingen genereren (DALL-E, Midjourney)",2,22:40:00,Echt,,Nep,Linkergedeelte lichter,Nep,Licht om de tank heen,Nep,Buiging vinger,Echt,,Echt,,Nep,Kijkt niet naar de kat,Echt,,Echt,,Nep,Gezichten,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Te veel mensen,Echt,,Nep,Gezichten,Nep,Scherpte,Echt,,Echt,,Echt,Gezichten ,Echt,,Echt,,Nep,,Echt,,Echt,,Nep,Te veel Poetin,Echt,,Nep,Onnatuurlijke gezichten,22:45:00,Nee,4,3,7
30-11-2023 23:08:40,19 / 30,55,Vrouw,HBO,Textiel,Nee,2,2,1,Niet van toepassing,1,22:56:00,Echt,,Nep,Teveel dezelfde kleur,Echt,,Echt,,Nep,Klopt niet met de handen,Nep,Arm erachter,Echt,,Echt,,Echt,,Nep,Gezichten,Nep,Gevoel,Nep,Klopt niet,Nep,wazige massa,Echt,,Echt,,Nep,In de verte de gezichten,Echt,,Echt,,Nep,Te geordend,Echt,,Nep,Wazig en scherp klopt niet,Nep,Ogen,Echt,,Echt,,Echt,,Echt,,Echt,,Nep,Idee,Echt,,Nep,Nep,23:07:00,Nee,3,4,3
