,score,leeftijd,geslacht,niveau,vakgebied,relatie-vakgebied,bekendheid-AI,vaardigheid-AI,regelmaat-AI,gebruik-AI,vertrouwen-Onderscheid,starttijd,foto-1,toelichting-1,foto-2,toelichting-2,foto-3,toelichting-3,foto-4,toelichting-4,foto-5,toelichting-5,foto-6,toelichting-6,foto-7,toelichting-7,foto-8,toelichting-8,foto-9,toelichting-9,foto-10,toelichting-10,foto-11,toelichting-11,foto-12,toelichting-12,foto-13,toelichting-13,foto-14,toelichting-14,foto-15,toelichting-15,foto-16,toelichting-16,foto-17,toelichting-17,foto-18,toelichting-18,foto-19,toelichting-19,foto-20,toelichting-20,foto-21,toelichting-21,foto-22,toelichting-22,foto-23,toelichting-23,foto-24,toelichting-24,foto-25,toelichting-25,foto-26,toelichting-26,foto-27,toelichting-27,foto-28,toelichting-28,foto-29,toelichting-29,foto-30,toelichting-30,eindtijd,nieuwe-kennis,invloed-survey,moeilijkheid,inschatting,startminuten,eindminuten,tijd
14,53,63,Vrouw,HBO,Verpleegkunde,Nee,2,1,1,Niet van toepassing,2,21:30:00,1,,1,,0,Ik zie geen schaduw van de tank ,0,De wijsvinger is te lang,0,De beide dames zijn met hetzelfde lapje stof bezig,1,,1,,0,Het bord houdt ze verkeerd om,1,,0,Hoofden zien er raar uit,0,Regenboogdemonstratie  tijdens coronatijd,1,,1,,1,,0,,1,,0,Er springt iemand op het dak ,0,De hand van Poetin ziet er raar uit,1,,1,,1,,0,Gezichten,1,,1,,1,,1,,1,,1,,0,Kennedy zit er tussen,0,Vinger ziet er vreemd uit,21:55:00,Nee,3,3,6,1290,1315,25
15,43,49,Man,HBO,.,Nee,2,3,1,Niet van toepassing,3,21:49:00,1,,0,,0,Schaduw ,0,Vinger,1,,0,Gezicht,1,,1,,1,,0,Teveel details,1,,0,,1,,0,,0,,0,,1,,0,,1,,0,,1,,0,,0,,1,,0,,1,,1,,0,,0,,0,,21:55:00,Nee,3,5,4,1309,1315,6
17,63,60,Man,HBO,Werktuigbouw,Nee,1,2,1,Niet van toepassing,3,21:28:00,1,,1,,1,,1,,0,Ogen zitten dicht van de vrouwen,0,Achtergrond vaag,0,Kat op de voorgrond klopt niet,1,,0,Bruine deel klopt niet,0,Achtergrond vaag,0,Zwarte vlag klopt niet,0,Pistool klopt niet in de handen ,0,Mensenmassa klopt niet,1,,1,,1,,0,Spandoek met mannen erop is er in gezet,0,Poetin klopt niet ,0,Grond op voor en achtergrond komen niet overeen ,0,De 2 met helm horen er niet,0,Tekst op de voorgrond zou scherper moeten zijn,0,Geert en trump klopt niet,1,,0,Vrouw klopt niet,0,Achtergrond klopt niet met voorgrond ,0,Barack met trump klopt niet,1,,0,Voor en achterkant kloppen niet,1,,0,Biden is er in geplakt,22:03:00,Ja,1,4,5,1288,1323,35
18,70,60,Vrouw,HBO,Small Business,Nee,2,1,1,Niet van toepassing,1,21:50:00,1,,1,,1,,1,,1,,1,,1,,0,De persoon met groene pet klopt niet helemaal,1,,0,De gezichten zijn onnatuurlijk. Lijken wel wassenbeelden. ,1,,1,,0,De mensenmassa bevat rare vlekken,1,,1,,0,Sommige vlaggen lijken erin geplakt,1,,0,De man is erin geplakt,0,De mensen op de voorgrond hebben een niet menselijke houding,0,De lantaarnpalen lijken uit een andere foto te komen,1,,0,De mannen lijken op poppen,0,De mensen op de voorgrond zijn erin geplakt,1,,1,,1,,1,,0,Het gezicht van Poetin is niet echt,1,,0,De man is erin geplakt ,22:05:00,Ja,4,3,5,1310,1325,15
19,77,54,Vrouw,MBO,Modebranche ,Nee,2,2,1,Niet van toepassing,2,21:42:00,0,Handen gek bij het vasthouden van het bord,1,,0,Gebouwen wazig ,0,Jij reageert niet echt ,0,Handen staan vreemd,1,,0,Handen gek,0,Het lijkt of zij erin is gezet,0,,0,De gezichten zijn echt nep,1,,1,,1,,1,,1,,0,Bomen zijn tegen de gevel aangeplakt ,1,,0,Gezicht Poetin,0,Persoon met witte bovenstuk is vreemd,1,,0,Er loopt een vrouw tussen die aan het winkelen gedaan,0,Gezichten,1,,1,,1,,1,,1,,0,Gezichten,1,,0,Gezicht,22:05:00,Nee,2,3,5,1302,1325,23
20,67,53,Man,HBO,Sales,Nee,3,3,1,Niet van toepassing,2,21:45:00,0,Handen aan het bord,1,,1,,0,Reactie en erg onwaarschijnlijk ,1,,1,,0,"Kat is er voor geplaatst, handen soldaat ",1,,1,,0,,1,,1,,1,,1,,1,,0,Veel mensen niet echt ,1,,0,Ehhhhh…… Putin,0,,0,,1,,0,Trump,1,,0,,1,,0,,1,,0,,0,,0,Haar van Trump,22:16:00,Nee,3,3,8,1305,1336,31
21,63,63,Vrouw,MBO,Mode,Nee,1,2,1,Niet van toepassing,3,22:09:00,1,,1,,0,Schaduw tank klopt niet,1,,0,Ze horen achter de naaimachine te zitten en niet ervoor ,1,,1,,1,,1,,1,Hoofden te onnatuurlijk ,0,Vlaggen zijn er in gezet ,0,Weet ik niet echt gevoel ,1,,1,,1,,0,Niet alle vlaggen zijn echt ,0,Jongen op het dak zijn stand klopt niet ,0,Hand van de vrouw zit te hoog ,1,,1,,1,,1,Ze hebben elkaar nog nooit ontmoet denk ik ,1,,0,Vrouw is er in geplaatst ,1,,0,Kan het niet precies zeggen ,1,,0,4de zelfde hoofden ,1,,0,Je ziet aan zijn hoofd ,22:24:00,Ja,4,3,5,1329,1344,15
22,60,62,Man,MBO,Anesthesie medewerker ,Ja,2,1,1,Niet van toepassing,1,22:25:00,0,Ondat ik kale en groene bomen zie,1,,0,Ziet eruit om situatie extra heftig te maken ,0,Lengte van vingers klopt niet,0,Naaimachines staan verkeerd ,1,,0,Belichting klopt niet,0,Tekstbord  verkeerd om,1,,0,Gezichten lijken onecht,1,,0,Vreemde stand van rechterhand,0,,0,Rij richting motoren klopt niet ,1,,0,Vreemde bomen,0,Rare houding op dak,0,Poetin ziet er vreemd uit,1,,0,Verhoudingen kloppen niet ,1,,0,Ze zien er nep uit,1,,1,,1,,1,,1,,0,Zie 4 x poetin,0,Denk dat ik iemand een sigaretje zie roken ,0,Ziet er te glad uit,22:32:00,Nee,4,4,5,1345,1352,7
24,70,28,Vrouw,Universitair,Digital Business ,Ja,4,4,4,"Teksten genereren (ChatGPT), Afbeeldingen genereren (DALL-E, Midjourney)",2,22:40:00,1,,0,Linkergedeelte lichter,0,Licht om de tank heen,0,Buiging vinger,1,,1,,0,Kijkt niet naar de kat,1,,1,,0,Gezichten,1,,1,,1,,1,,1,,0,Te veel mensen,1,,0,Gezichten,0,Scherpte,1,,1,,1,Gezichten ,1,,1,,0,,1,,1,,0,Te veel Poetin,1,,0,Onnatuurlijke gezichten,22:45:00,Nee,4,3,7,1360,1365,5
25,63,55,Vrouw,HBO,Textiel,Nee,2,2,1,Niet van toepassing,1,22:56:00,1,,0,Teveel dezelfde kleur,1,,1,,0,Klopt niet met de handen,0,Arm erachter,1,,1,,1,,0,Gezichten,0,Gevoel,0,Klopt niet,0,wazige massa,1,,1,,0,In de verte de gezichten,1,,1,,0,Te geordend,1,,0,Wazig en scherp klopt niet,0,Ogen,1,,1,,1,,1,,1,,0,Idee,1,,0,Nep,23:07:00,Nee,3,4,3,1376,1387,11
26,73,59,Vrouw,HBO,bedrijf,Nee,3,1,1,Niet van toepassing,3,22:47:00,1,,0,te groot,0,wegdek verschil,0,perspectirf,0,kleding optaffel,0,achtergroend,0,handen,1,,1,,0,gezicht,1,,0,houding,0,,1,,1,,0,,1,,0,,1,,1,,1,,0,,1,,1,,1,,1,,1,,0,,1,,0,,23:06:00,Ja,5,3,8,1367,1386,19
27,77,59,Man,HBO,Infra,Nee,1,1,1,Niet van toepassing,3,0:34:00,1,,1,,0,Schaduw tank niet aanwezig bij kkn wel,1,,1,,1,,0,Poes te schoon,0,Licht,1,,0,Gezichten lijken niet echt,1,,1,,1,,1,,1,,0,Overgang mensen bij gevel onduidelijk,1,,0,Licht ,0,Onscherpe onnatuurlijke mensen vooraan,1,,1,,0,Haar glinstert,1,,1,,1,,0,Geen oog contact,0,Vaag er achter,0,Dubbele poetin,0,Kleur belichting,0,Belichting tov achtergrond,0:44:00,Nee,3,3,8,34,44,10
28,57,65,Vrouw,Universitair,Onderwijs,Ja,3,2,2,Teksten genereren (ChatGPT),2,6:47:00,0,De vrolijkheid van de vrouw met de afbeelding van de vuist,1,,1,,0,Bijna onmogelijk om dit moment echt vast te leggen. ,0,Het lijkt of er geen draad uit de machines kan komen,1,,1,,1,,0,Geen idee. Intuïtief. ,0,Het hoofd van Obama ziet er heel onnatuurlijk uit,1,,1,,1,,0,Geen idee. Gevoel,0,,0,Gevoel door hoeveelheid mensen,0,Door de jongen die overspringt,0,Onnatuurlijk ,0,Gevoel,1,,1,,0,Ze lijken teveel op elkaar,1,,1,,0,Te vrolijk,0,Geen idee,1,,0,Er zitten alleen Poetins ,0,Gevoel,0,Foto ziet er onnatuurlijk uit,7:03:00,Nee,1,5,3,407,423,16
29,67,31,Vrouw,Universitair,LAW,Nee,1,1,1,Niet van toepassing,1,8:00:00,1,,0,Kleur en type foto,0,Kleur en diepte ,0,Kleur en afbeelding zelf ,1,,1,,0,De manier waarop de soldaat zit ten opzichte van de kat ,1,,1,,0,Kleuren en foto zelf ,1,,0,De afbeelding zelf,0,delen van de foto lijken zich te herhalen,1,,0,,0,Delen van de foto lijken zich te herhalen ,1,,0,Kleuren,1,,1,,1,,0,De afbeelding zelf,1,,1,,1,,0,,1,,0,De personen lijken op elkaar,1,,0,Kleuren en omgeving ,8:08:00,Nee,3,4,4,480,488,8
30,63,60,Vrouw,HBO,HRM,Nee,1,1,1,Niet van toepassing,2,8:19:00,1,,0,Kleuren en beeldPetra ,0,Onnatuurlijke houding kinderen ,1,,1,,1,,0,Houding soldaat,0,Vrouw houdt bord met voorkant naar achteren,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,Ik vind Poetin er wel erg vreemd uitzien,1,,1,,1,,0,Volgens mij heeft deze ontmoeting nooit plaats gevonden. Vind ze er niet echt uitzien.,1,,1,,1,,1,,1,,1,,1,,0,"Het ziet er onnatuurlijk uit, kleuren vooral",8:29:00,Nee,3,3,4,499,509,10
31,67,44,Vrouw,Universitair,Psychologie,Nee,4,4,4,"Teksten genereren (ChatGPT), Afbeeldingen genereren (DALL-E, Midjourney)",2,9:02:00,1,,1,,0,"Lichtval, positionering ",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,Lichtval,1,,1,,1,,0,Ziet er getekend uit,0,Vage voorgrond ,1,,1,,1,,1,,0,Licht op de vlaggen,1,,0,Licht,9:06:00,Nee,3,4,3,542,546,4
32,63,63,Man,HBO,Marketing,Nee,1,2,1,Niet van toepassing,2,9:00:00,1,,0,Kleurverschil,0,Tank ingeplakt. Te mooi plaatje,0,Hand in mond?,1,,1,,0,Stand handen.,0,Tekst aan verkeerde kant,1,,0,Photoshop. Deze 3 heren komen niet samen.,1,,0,Niet natuurlijk,0,Rommelige massa,0,Tractor klopt niet,1,,0,Teveel mensen,1,,0,Bewerkt met photoshop ,1,,1,,1,,0,Photoshop,1,,1,,1,,1,,1,,1,,1,,0,Photoshop niet natuurlijk ,9:15:00,Nee,4,3,5,540,555,15
33,83,49,Man,MBO,Elektrotechniek ,Ja,3,2,1,"Teksten genereren (ChatGPT), Afbeeldingen genereren (DALL-E, Midjourney)",3,9:06:00,1,,1,,0,Scherpte verschilt,0,Mond Biden klopt niet,0,3e naaister en haar naaimachine verschillen in scherpte.,1,,0,Hand soldaat klopt niet.,0,Rechter hand lijkt anders,0,Links boven grijze vlek,0,Gezichten zien er nep uitm,1,,0,Ogen mond en sevet in borstzak anders,0,Publiek ziet er raar uit.,0,Lichtval,1,,0,Te druk,1,,0,Gezicht Putin nep.,0,Schaduwen kloppen niet,1,,1,,0,Gezichten nep,1,,0,Vrouw net te perfect,1,,1,,1,,0,Meerdere Putins,1,,0,Biden zeer nep,9:17:00,Nee,2,4,7,546,557,11
34,67,79,Vrouw,HBO,Onderwijs,Nee,1,1,1,Niet van toepassing,1,9:00:00,1,,1,,1,,1,,1,,1,,1,,0,Onduidelijk,0,Ziet er niet echt uit,0,Erg onnatuurlijk ,1,,1,,1,,0,Onnatuurlijk ,1,,1,,1,,0,Gezichten lijken niet,1,,1,,1,,0,Vreemde gezichten ,1,,1,,1,,1,,1,,0,Onnatuurlijk ,1,,0,Onnatuurlijk ,9:30:00,Nee,1,3,4,540,570,30
35,50,57,Man,Universitair,Bedrijfskunde en informatica,Ja,4,3,2,Niet van toepassing,2,8:30:00,0,Belichting,1,,1,,0,Compositie,1,,1,,1,,0,Contouren ,1,,0,Structuur,1,,0,Onnatuurlijke grip,0,Spreiding menigte,0,Contouren ,1,,1,,0,,0,Structuur,1,,0,Contouren ,1,,0,Structuur ,1,,1,,1,,1,,1,,0,Plakken knippen,1,,0,Structuur ,8:45:00,Nee,3,4,8,510,525,15
36,57,62,Vrouw,HBO,Toerisme,Nee,3,3,3,Teksten genereren (ChatGPT),3,10:58:00,1,,0,The empty places on the picture,0,I can’t imagen that the 3 kids could stand there,0,,0,,0,Hand achter de jongrn,0,Ik verwacht geen kat op die plek,1,,1,,0,Obama ziet er nep uit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,Wilders is nep,0,Kinderwagen op die plek,1,,1,,1,,1,,1,,0,,0,Onnatuurlijk hoofd,11:00:00,Ja,4,4,5,658,660,2
37,60,59,Man,Universitair,Medisch specialist,Ja,5,3,3,"Teksten genereren (ChatGPT), Afbeeldingen genereren (DALL-E, Midjourney)",2,10:01:00,1,,0,"Voorgrond bruin, stof/modder. Achter grijs",0,Geen schaduw loop vs tank,0,Onwaarschijnlijk,1,,1,,1,,1,,1,,0,Behoeft geen uitleg,0,Verschillende uitingen,0,,1,,1,,1,,1,,1,,0,Onecht gezicht poetin ,1,,1,,1,,0,Wilders niet echt,1,,1,,1,,1,,1,,0,Kijk naar handen,1,,0,"Dirty Harry, make my day. ",10:12:00,Nee,3,2,8,601,612,11
40,70,64,Man,MBO,Logistiek,Nee,2,1,1,Niet van toepassing,2,10:24:00,0,Komt niet echt over,1,,0,Verhouding,0,Niet reëel,1,,1,,1,,1,,1,,0,rare gezichten,0,verhoudingen kloppen niet,1,,0,Verhoudingen kloppen niet,1,,1,,1,,1,,0,Raar gezicht,0,Verhoudingen kloppen niet,1,,1,,0,Rare gezichten,1,,1,,1,,1,,1,,0,Rare gezichten 2x Poetin?,1,,0,te strakke lijnen,10:35:00,Nee,2,4,5,624,635,11
41,70,42,Vrouw,Universitair,Coach,Nee,2,2,1,Niet van toepassing,3,11:26:00,1,,0,Die achterkant ziet er nep uit,0,Die kinderent zijn photoshopped,1,,1,,1,,1,,1,,1,,0,2 nep mensen,1,,0,Gun,1,,1,,0,Hoofd,0,Achterkant,1,,0,Man,0,Mensen,1,,1,,0,Beide mannen,1,,1,,1,,1,,1,,0,Voorhoofd/haar,1,,0,Alles,11:32:00,Nee,3,3,7,686,692,6
42,93,20,Vrouw,HBO,Product design,Nee,3,2,3,"Teksten genereren (ChatGPT), Ai in Photoshop",3,11:23:00,1,,1,,0,rare delen zijn scherp en onscherp,1,,0,de mensen en hun handen,1,,0,oog van de kat en zijn hand,1,,0,huizen voorin,0,te heftig detail en glanzend,1,,1,,0,de mensen en de auto voorin,1,,1,,0,de voorste mensen,1,,0,rare handen hoofd is een beetje onmenselijk,0,de rij tenten,1,,1,,1,de handen van die man daarachter en te glanzende neppe mensen,1,,0,de onscherpe delen,1,,1,,1,,0,handen en weer een glanzend hoofd,1,,0,heel zn hoofd en weer hand,11:43:00,Nee,3,3,6,683,703,20
44,87,23,Vrouw,Universitair,Diergeneeskunde,Nee,4,3,4,"Teksten genereren (ChatGPT), Afbeeldingen genereren (DALL-E, Midjourney)",2,11:57:00,1,,0,de regelmatigheid van de huizen??,0,de graphics van de tank,1,,0,de voorste naaimachine,1,,1,,1,,0,in de verte is geen duidelijke regelmaat meer,0,de algemene graphics zijn te smooth,1,,1,,0,alle hoofden lijken samen te blenden,1,,1,,0,de menigte in de verte,1,,0,algemene graphics,0,mensen in de verte,1,,1,,0,belichting,1,,1,,1,,1,,1,,0,lettelijk 3x putin,1,,0,,12:03:00,Nee,3,3,7,717,723,6
45,73,21,Vrouw,Universitair,Informatiekunde,Ja,5,3,4,Niet van toepassing,3,11:47:00,1,,0,Is niet echt duidelijk waar op gefocust is. ,0,De tank lijkt alsof het erin is gefotoshopt. ,0,Misvormde ledematen.,0,"Kleurgebruik, waardoor het voor mij onnatuurlijk lijkt, een twijfelgeval. ",0,De jongen op de voorgrond lijkt gefotoshopt.,0,De witte kat. ,1,,0,Niet echt een focus. ,0,De gezichten zijn een beetje vernaggeld.,1,,0,,0,Kan niet heel veel opmaken uit de afbeelding. ,0,Lijkt onnatuurlijk door het kleurgebruik.,1,,0,Je ziet soms geen gezichten. Bijvoorbeeld een waas met een zonnebril. ,1,,0,De gezichten komen niet natuurlijk over. ,0,"Er zit een soort waas over de afbeelding, waardoor het niet natuurlijk overkomt.",1,,0,De vlag ziet er heel kreupel uit.,0,Het beeld lijkt gepolijst. Levendige kleuren. ,1,,1,,1,,1,,1,,0,De gezichten lijken allemaal op elkaar.,1,,0,De achtergrond is wazig en de man op de voorgrond lijkt er wel in gefotoshopt. ,12:08:00,Nee,3,4,6,707,728,21
46,70,24,Man,MBO,Politie,Nee,3,2,2,"Teksten genereren (ChatGPT), Afbeeldingen genereren (DALL-E, Midjourney)",3,12:11:00,1,,1,,0,,1,,1,,1,,1,,1,,1,,0,,1,,0,,0,,0,,1,,0,,1,,0,,1,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,0,,12:15:00,Nee,3,4,6,731,735,4
47,90,18,Vrouw,HBO,Product Design,Ja,4,3,1,Voor het beantwoorden van een vraag of om te vertalen,4,12:04:00,1,,0,Het heeft een te gladde uitstraling en mist details en textuur,0,Het is weer te glad. De textuur en detail van de kleding het metaal missen. Het lijkt eerder op een game dan een echte foto.,1,,0,moeilijk wel deze maar weer een bepaalde gladde uitstraling. maar deze kan ook verkregen worden door editing dus idk.,1,,0,gladde afgelikte uitstraling. en ik vind die '8' sus ,1,,0,hele rare situatie die mij onrealistisch lijkt. je kan nergens echt opmaken wat je werkelijk ziet of waar het begin of einde is.,0,dit is geen realistische afbeelding van de presidenten. joe biden ziet er zo niet uit. en dit is nooit gebeurd.,1,,0,"zijn zakdoek heft drie punten, waar dat normaal gezien hoogstens twee zou zijn",0,weer een te gladde en gelikte uitstraling. de straat heeft geen textuur. en de rijwagens zijn apart en er vliegen random wielen ,1,,1,,0,gekke gladde uitstraling en als je inzoomt zie je dat niemand een echt gezicht heeft,1,,0,gekke onrealistische uitstraling; lack of texture; te hoge HDR,0,de mensfiguren afgebeeld hebben onrealistische poses en kloppen gewoon niet,1,,1,,0,te gladde textuur van de kledij en te perfecte haren en te hoge HDR ,1,,0,vibes. maar moeilijke,1,,1,,1,,0,bro's dit zijn te veel Putins. en weer een veelte hoog contrast en gladde uitstraling,1,,0,te gladde uitstraling en hoog contrast en onrealistisch gebeuren,12:21:00,Nee,2,3,7,724,741,17
48,83,22,Vrouw,Universitair,Marketing,Nee,3,3,3,Teksten genereren (ChatGPT),3,12:18:00,1,,0,,0,,0,,1,,1,,0,,1,,0,,0,,1,,0,,0,,1,,1,,0,,1,,0,,0,,1,,1,,0,,1,,0,,1,,1,,1,,0,,1,,0,,12:23:00,Ja,3,4,5,738,743,5
